BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
RTSI;MCFTR;08.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6832,74;6832,74;6832,74;6832,74;50925758473,76;0;0;2;0;RUB;;3;1721568970,0000;08.08.2024;
RTSI;MCFTR;09.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6822,63;6822,63;6822,63;6822,63;34210258006,59;0;0;2;0;RUB;;3;1279840859,0000;09.08.2024;
RTSI;MCFTR;12.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6814,2;6814,2;6814,2;6814,2;52648616171,28;0;0;2;0;RUB;;3;3525553536,0000;12.08.2024;
RTSI;MCFTR;13.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6909,61;6909,61;6909,61;6909,61;53550433182,7;0;0;2;0;RUB;;3;3010969273,0000;13.08.2024;
RTSI;MCFTR;14.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6877,3;6877,3;6877,3;6877,3;55379302091,44;0;0;2;0;RUB;;3;5899206427,0000;14.08.2024;
RTSI;MCFTR;15.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6798,25;6798,25;6798,25;6798,25;42770537783,08;0;0;2;0;RUB;;3;4660050095,0000;15.08.2024;
RTSI;MCFTR;16.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6774,51;6774,51;6774,51;6774,51;35419838940,4;0;0;2;0;RUB;;3;2370424532,0000;16.08.2024;
RTSI;MCFTR;19.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6648,61;6648,61;6648,61;6648,61;65134610086,68;0;0;2;0;RUB;;3;3618649319,0000;19.08.2024;
RTSI;MCFTR;20.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6631,32;6631,32;6631,32;6631,32;76630352630,9;0;0;2;0;RUB;;3;3340816284,0000;20.08.2024;
RTSI;MCFTR;21.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6630,65;6630,65;6630,65;6630,65;73178443981,36;0;0;2;0;RUB;;3;2122122425,0000;21.08.2024;
RTSI;MCFTR;22.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6529,11;6529,11;6529,11;6529,11;92476656421,35;0;0;2;0;RUB;;3;2646548299,0000;22.08.2024;
RTSI;MCFTR;23.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6377,53;6377,53;6377,53;6377,53;110196674146,95;0;0;2;0;RUB;;3;5190145902,0000;23.08.2024;
RTSI;MCFTR;26.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6620,13;6620,13;6620,13;6620,13;99653396406,07;0;0;2;0;RUB;;3;3573640815,0000;26.08.2024;
RTSI;MCFTR;27.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6540,2;6540,2;6540,2;6540,2;73047883312;0;0;2;0;RUB;;3;3889412489,0000;27.08.2024;
RTSI;MCFTR;28.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6467,38;6467,38;6467,38;6467,38;94586429599,75;0;0;2;0;RUB;;3;13751174314,0000;28.08.2024;
RTSI;MCFTR;29.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6487,24;6487,24;6487,24;6487,24;85021074135,97;0;0;2;0;RUB;;3;6441458252,0000;29.08.2024;
RTSI;MCFTR;30.08.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6348,43;6348,43;6348,43;6348,43;84958860158,53;0;0;2;0;RUB;;3;5144792184,0000;30.08.2024;
RTSI;MCFTR;02.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6096,32;6096,32;6096,32;6096,32;108326589865,18;0;0;2;0;RUB;;3;9899079143,0000;02.09.2024;
RTSI;MCFTR;03.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6046,76;6046,76;6046,76;6046,76;117741356417,71;0;0;2;0;RUB;;3;15232934342,0000;03.09.2024;
RTSI;MCFTR;04.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6240,23;6240,23;6240,23;6240,23;76906287998,23;0;0;2;0;RUB;;3;8350254206,0000;04.09.2024;
RTSI;MCFTR;05.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6279,68;6279,68;6279,68;6279,68;94482305833,58;0;0;2;0;RUB;;3;9813047973,0000;05.09.2024;
RTSI;MCFTR;06.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6283,87;6283,87;6283,87;6283,87;59440728924,85;0;0;2;0;RUB;;3;6496970621,0000;06.09.2024;
RTSI;MCFTR;09.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6475,02;6475,02;6475,02;6475,02;71836158678,05;0;0;2;0;RUB;;3;5178749783,0000;09.09.2024;
RTSI;MCFTR;10.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6401,99;6401,99;6401,99;6401,99;68662304754,42;0;0;2;0;RUB;;3;3188034287,0000;10.09.2024;
RTSI;MCFTR;11.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6393,96;6393,96;6393,96;6393,96;44925881232,74;0;0;2;0;RUB;;3;2553938123,0000;11.09.2024;
RTSI;MCFTR;12.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6266,87;6266,87;6266,87;6266,87;63903593629,84;0;0;2;0;RUB;;3;2778178059,0000;12.09.2024;
RTSI;MCFTR;13.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6420,22;6420,22;6420,22;6420,22;122001987216,4;0;0;2;0;RUB;;3;6593647855,0000;13.09.2024;
RTSI;MCFTR;16.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6576,5;6576,5;6576,5;6576,5;83013075200;0;0;2;0;RUB;;3;4775988232,0000;16.09.2024;
RTSI;MCFTR;17.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6648,01;6648,01;6648,01;6648,01;79582960417,52;0;0;2;0;RUB;;3;4358645294,0000;17.09.2024;
RTSI;MCFTR;18.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6594,54;6594,54;6594,54;6594,54;69307069306,58;0;0;2;0;RUB;;3;5672423245,0000;18.09.2024;
RTSI;MCFTR;19.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6611,75;6611,75;6611,75;6611,75;70338853740,8;0;0;2;0;RUB;;3;3799098382,0000;19.09.2024;
RTSI;MCFTR;20.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6674,39;6674,39;6674,39;6674,39;60484298738,62;0;0;2;0;RUB;;3;2621923722,0000;20.09.2024;
