BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
SNDX;IMOEX;21.07.2020;Индекс МосБиржи;Индекс МосБиржи;2825,71;2814,99;2849,18;2813,4;81672920482,1;0;0;2;12031431750900;RUB;4257839328,8700;3;;21.07.2020;
SNDX;IMOEX;22.07.2020;Индекс МосБиржи;Индекс МосБиржи;2834,65;2824,5;2844,12;2815,03;55532469269,9;0;0;2;12069485782500;RUB;4257839328,8700;3;;22.07.2020;
SNDX;IMOEX;23.07.2020;Индекс МосБиржи;Индекс МосБиржи;2851,79;2848,41;2866,78;2843,93;55384618689,1;0;0;2;12142451480200;RUB;4257839328,8700;3;;23.07.2020;
SNDX;IMOEX;24.07.2020;Индекс МосБиржи;Индекс МосБиржи;2863,12;2835,15;2863,12;2822,26;59473274345,9;0;0;2;12190686646800;RUB;4257839328,8700;3;;24.07.2020;
SNDX;IMOEX;27.07.2020;Индекс МосБиржи;Индекс МосБиржи;2884,88;2869,69;2896,28;2869,69;65271567734,1;0;0;2;12283343857400;RUB;4257839328,8700;3;;27.07.2020;
SNDX;IMOEX;28.07.2020;Индекс МосБиржи;Индекс МосБиржи;2895,45;2891,34;2907,03;2877,4;60720735494,2;0;0;2;12328368835600;RUB;4257839328,8700;3;;28.07.2020;
SNDX;IMOEX;29.07.2020;Индекс МосБиржи;Индекс МосБиржи;2918,42;2893,54;2918,42;2889,69;65283344648,7;0;0;2;12426158517600;RUB;4257839328,8700;3;;29.07.2020;
SNDX;IMOEX;30.07.2020;Индекс МосБиржи;Индекс МосБиржи;2882,63;2915,94;2919,35;2869,99;58998044298,8;0;0;2;12273765898200;RUB;4257839328,8700;3;;30.07.2020;
SNDX;IMOEX;31.07.2020;Индекс МосБиржи;Индекс МосБиржи;2911,57;2902,81;2917,69;2899,58;61904395534,6;0;0;2;12396982814400;RUB;4257839328,8700;3;;31.07.2020;
SNDX;IMOEX;03.08.2020;Индекс МосБиржи;Индекс МосБиржи;2929,97;2917,68;2942,77;2911,19;61064409540,7;0;0;2;12475331245800;RUB;4257839328,8700;3;;03.08.2020;
SNDX;IMOEX;04.08.2020;Индекс МосБиржи;Индекс МосБиржи;2940,46;2934,91;2942,06;2923,36;53379189529,8;0;0;2;12520025816500;RUB;4257839328,8700;3;;04.08.2020;
SNDX;IMOEX;05.08.2020;Индекс МосБиржи;Индекс МосБиржи;2992,78;2954,41;2994,08;2952,15;88713978904,1;0;0;2;12742787156500;RUB;4257839328,8700;3;;05.08.2020;
SNDX;IMOEX;06.08.2020;Индекс МосБиржи;Индекс МосБиржи;2988,5;2998,53;3004,83;2981,79;58301984562,2;0;0;2;12724548973000;RUB;4257839328,8700;3;;06.08.2020;
SNDX;IMOEX;07.08.2020;Индекс МосБиржи;Индекс МосБиржи;2972,35;2992,26;2994,46;2968,48;56258864420,2;0;0;2;12655770550400;RUB;4257839328,8700;3;;07.08.2020;
SNDX;IMOEX;10.08.2020;Индекс МосБиржи;Индекс МосБиржи;2960,78;2976,49;2998,78;2960,78;48019499659,7;0;0;2;12606527609200;RUB;4257839328,8700;3;;10.08.2020;
SNDX;IMOEX;11.08.2020;Индекс МосБиржи;Индекс МосБиржи;3005,63;2959,29;3012,58;2959,29;93734815374,7;0;0;2;12797485304500;RUB;4257839328,8700;3;;11.08.2020;
SNDX;IMOEX;12.08.2020;Индекс МосБиржи;Индекс МосБиржи;3053,99;2990,9;3053,99;2985,25;89279363513,7;0;0;2;13003402610100;RUB;4257839328,8700;3;;12.08.2020;
SNDX;IMOEX;13.08.2020;Индекс МосБиржи;Индекс МосБиржи;3080,44;3057,63;3081,15;3047,74;91764463491,4;0;0;2;13116025272900;RUB;4257839328,8700;3;;13.08.2020;
SNDX;IMOEX;14.08.2020;Индекс МосБиржи;Индекс МосБиржи;3061,99;3075,96;3075,96;3044,71;62096882708,5;0;0;2;13037455291300;RUB;4257839328,8700;3;;14.08.2020;
SNDX;IMOEX;17.08.2020;Индекс МосБиржи;Индекс МосБиржи;3052,46;3070,81;3090,42;3041,99;82525600190,3;0;0;2;12996864104500;RUB;4257839328,8700;3;;17.08.2020;
SNDX;IMOEX;18.08.2020;Индекс МосБиржи;Индекс МосБиржи;3050,7;3056,72;3073,85;3048,31;58562508471;0;0;2;12989401524700;RUB;4257839328,8700;3;;18.08.2020;
SNDX;IMOEX;19.08.2020;Индекс МосБиржи;Индекс МосБиржи;3056,54;3048,22;3073,84;3041,43;55321489952,7;0;0;2;13014238750700;RUB;4257839328,8700;3;;19.08.2020;
SNDX;IMOEX;20.08.2020;Индекс МосБиржи;Индекс МосБиржи;2993,69;3044,92;3044,92;2993,69;90101841898,7;0;0;2;12746668589000;RUB;4257839328,8700;3;;20.08.2020;
SNDX;IMOEX;21.08.2020;Индекс МосБиржи;Индекс МосБиржи;2995,61;3013,4;3024,71;2973,11;89980771052,2;0;0;2;12754825344500;RUB;4257839328,8700;3;;21.08.2020;
SNDX;IMOEX;24.08.2020;Индекс МосБиржи;Индекс МосБиржи;3029,42;3005,86;3036,63;3005,86;56090322436,7;0;0;2;12898763543400;RUB;4257839328,8700;3;;24.08.2020;
SNDX;IMOEX;25.08.2020;Индекс МосБиржи;Индекс МосБиржи;3029,05;3042,58;3051,27;3020,46;57974269706,9;0;0;2;12897199949700;RUB;4257839328,8700;3;;25.08.2020;
SNDX;IMOEX;26.08.2020;Индекс МосБиржи;Индекс МосБиржи;3051,97;3041,19;3053,9;3024,04;74241762707,6;0;0;2;12994786931300;RUB;4257839328,8700;3;;26.08.2020;
SNDX;IMOEX;27.08.2020;Индекс МосБиржи;Индекс МосБиржи;3012,01;3051,2;3056,25;3002,1;66131754149,5;0;0;2;12824642450000;RUB;4257839328,8700;3;;27.08.2020;
SNDX;IMOEX;28.08.2020;Индекс МосБиржи;Индекс МосБиржи;2980,17;3015,7;3015,7;2976,34;60139550849,6;0;0;2;12689071358400;RUB;4257839328,8700;3;;28.08.2020;
SNDX;IMOEX;31.08.2020;Индекс МосБиржи;Индекс МосБиржи;2966,2;2993,02;3012,44;2962,06;184001931133;0;0;2;12629609973100;RUB;4257839328,8700;3;;31.08.2020;
SNDX;IMOEX;01.09.2020;Индекс МосБиржи;Индекс МосБиржи;2975;2976,07;2993,28;2967,96;81890923133,6;0;0;2;12667085849300;RUB;4257839328,8700;3;;01.09.2020;
SNDX;IMOEX;02.09.2020;Индекс МосБиржи;Индекс МосБиржи;2956,5;2989,76;3002,25;2946,29;94988586744,5;0;0;2;12588292485700;RUB;4257839328,8700;3;;02.09.2020;
SNDX;IMOEX;03.09.2020;Индекс МосБиржи;Индекс МосБиржи;2931,92;2954,62;2967,61;2917,24;82989442207;0;0;2;12483644758900;RUB;4257839328,8700;3;;03.09.2020;
SNDX;IMOEX;04.09.2020;Индекс МосБиржи;Индекс МосБиржи;2921,55;2920,22;2944,66;2910,39;69997849774,1;0;0;2;12439498318500;RUB;4257839328,8700;3;;04.09.2020;
SNDX;IMOEX;07.09.2020;Индекс МосБиржи;Индекс МосБиржи;2932,29;2929,38;2947,17;2925,55;53483774598,9;0;0;2;12485219790100;RUB;4257839328,8700;3;;07.09.2020;
SNDX;IMOEX;08.09.2020;Индекс МосБиржи;Индекс МосБиржи;2888,79;2937,18;2948,88;2875,96;82332639045,6;0;0;2;12299990406200;RUB;4257839328,8700;3;;08.09.2020;
SNDX;IMOEX;09.09.2020;Индекс МосБиржи;Индекс МосБиржи;2876,07;2880,83;2899,17;2872,92;64443700494,9;0;0;2;12245856571600;RUB;4257839328,8700;3;;09.09.2020;
SNDX;IMOEX;10.09.2020;Индекс МосБиржи;Индекс МосБиржи;2897,55;2888,09;2897,55;2858,65;65787625355,2;0;0;2;12337301186500;RUB;4257839328,8700;3;;10.09.2020;
SNDX;IMOEX;11.09.2020;Индекс МосБиржи;Индекс МосБиржи;2910,51;2888,92;2911,71;2874,47;58206856278,1;0;0;2;12392502242000;RUB;4257839328,8700;3;;11.09.2020;
SNDX;IMOEX;14.09.2020;Индекс МосБиржи;Индекс МосБиржи;2928,38;2918,29;2938,24;2918,29;62169731197,1;0;0;2;12468585748000;RUB;4257839328,8700;3;;14.09.2020;
SNDX;IMOEX;15.09.2020;Индекс МосБиржи;Индекс МосБиржи;2980,58;2936,42;2982,2;2932,36;74748355784,4;0;0;2;12690837171900;RUB;4257839328,8700;3;;15.09.2020;
SNDX;IMOEX;16.09.2020;Индекс МосБиржи;Индекс МосБиржи;2975,01;2982,49;2990,74;2960,68;73285008183,1;0;0;2;12667109541400;RUB;4257839328,8700;3;;16.09.2020;
SNDX;IMOEX;17.09.2020;Индекс МосБиржи;Индекс МосБиржи;2971,74;2947,54;2974,54;2945,78;85774277598,2;0;0;2;12653186368100;RUB;4257839328,8700;3;;17.09.2020;
SNDX;IMOEX;18.09.2020;Индекс МосБиржи;Индекс МосБиржи;2951,79;2976,1;2977,13;2944,22;87835262045,4;0;0;2;14197259684100;RUB;4809707787,4200;3;;18.09.2020;
SNDX;IMOEX;21.09.2020;Индекс МосБиржи;Индекс МосБиржи;2863,67;2946,18;2946,18;2857,78;84915278078,2;0;0;2;13773398356900;RUB;4809707787,4200;3;;21.09.2020;
SNDX;IMOEX;22.09.2020;Индекс МосБиржи;Индекс МосБиржи;2884,66;2874;2907,98;2868,38;72694032936,9;0;0;2;13874359877200;RUB;4809707787,4200;3;;22.09.2020;
SNDX;IMOEX;23.09.2020;Индекс МосБиржи;Индекс МосБиржи;2916,39;2933,33;2968,55;2916,27;144057907966;0;0;2;14026996372700;RUB;4809707787,4200;3;;23.09.2020;
SNDX;IMOEX;24.09.2020;Индекс МосБиржи;Индекс МосБиржи;2912,76;2905,55;2920,46;2880,39;87868199396,4;0;0;2;14009504082000;RUB;4809707787,4200;3;;24.09.2020;
SNDX;IMOEX;25.09.2020;Индекс МосБиржи;Индекс МосБиржи;2896,83;2912,83;2912,83;2870,16;75662859146,4;0;0;2;13932922146500;RUB;4809707787,4200;3;;25.09.2020;
SNDX;IMOEX;28.09.2020;Индекс МосБиржи;Индекс МосБиржи;2927,17;2909,62;2938,94;2909,62;69770125370,4;0;0;2;14078810348000;RUB;4809707787,4200;3;;28.09.2020;
SNDX;IMOEX;29.09.2020;Индекс МосБиржи;Индекс МосБиржи;2910,12;2935,77;2947,75;2889,22;80159930228,7;0;0;2;13996817556800;RUB;4809707787,4200;3;;29.09.2020;
SNDX;IMOEX;30.09.2020;Индекс МосБиржи;Индекс МосБиржи;2905,81;2908,55;2920,03;2893,8;66808053460,3;0;0;2;13976089270500;RUB;4809707787,4200;3;;30.09.2020;
SNDX;IMOEX;01.10.2020;Индекс МосБиржи;Индекс МосБиржи;2889,8;2911,08;2919,25;2882,81;74033823737,9;0;0;2;13899096324200;RUB;4809707787,4200;3;;01.10.2020;
SNDX;IMOEX;02.10.2020;Индекс МосБиржи;Индекс МосБиржи;2852,42;2840,72;2859,01;2824,69;78844415007,9;0;0;2;13719301604300;RUB;4809707787,4200;3;;02.10.2020;
SNDX;IMOEX;05.10.2020;Индекс МосБиржи;Индекс МосБиржи;2881,98;2860,53;2882,94;2845,63;63509160152,4;0;0;2;13861472527900;RUB;4809707787,4200;3;;05.10.2020;
SNDX;IMOEX;06.10.2020;Индекс МосБиржи;Индекс МосБиржи;2892,99;2885,38;2906,65;2883,69;73021330700,7;0;0;2;13914414418200;RUB;4809707787,4200;3;;06.10.2020;
SNDX;IMOEX;07.10.2020;Индекс МосБиржи;Индекс МосБиржи;2842,58;2883,58;2888,2;2838,45;67235083005,8;0;0;2;13671969514900;RUB;4809707787,4200;3;;07.10.2020;
SNDX;IMOEX;08.10.2020;Индекс МосБиржи;Индекс МосБиржи;2846,39;2850,65;2859,87;2837,05;55803931185,4;0;0;2;13690283258800;RUB;4809707787,4200;3;;08.10.2020;
SNDX;IMOEX;09.10.2020;Индекс МосБиржи;Индекс МосБиржи;2834,09;2842,59;2842,59;2811,05;67564085234,3;0;0;2;13631162034000;RUB;4809707787,4200;3;;09.10.2020;
SNDX;IMOEX;12.10.2020;Индекс МосБиржи;Индекс МосБиржи;2846,14;2834,33;2862,36;2827,52;58718697811,45;0;0;2;13689118306976,201;RUB;4809707787,4153;3;;12.10.2020;
SNDX;IMOEX;13.10.2020;Индекс МосБиржи;Индекс МосБиржи;2829,23;2846,04;2859,52;2822,97;56828024719,1;0;0;2;13607767077509,918;RUB;4809707787,4153;3;;13.10.2020;
SNDX;IMOEX;14.10.2020;Индекс МосБиржи;Индекс МосБиржи;2856,08;2829,88;2857,47;2824,12;54266740541,85;0;0;2;13736904655277,525;RUB;4809707787,4153;3;;14.10.2020;
SNDX;IMOEX;15.10.2020;Индекс МосБиржи;Индекс МосБиржи;2817,29;2849,24;2850,11;2803,9;65315267334,85;0;0;2;13550357615696,22;RUB;4809707787,4153;3;;15.10.2020;
SNDX;IMOEX;16.10.2020;Индекс МосБиржи;Индекс МосБиржи;2799,54;2819,04;2819,04;2785,85;71062651943,55;0;0;2;13464960048324,197;RUB;4809707787,4153;3;;16.10.2020;
SNDX;IMOEX;19.10.2020;Индекс МосБиржи;Индекс МосБиржи;2794,27;2797,65;2809,42;2787,5;48808418102,15;0;0;2;13439610301348,738;RUB;4809707787,4153;3;;19.10.2020;
